Category,Title,Viewpoint,Dimensionality,Genre,Stage/Status,Concept Status,Description,Pitch,,,,,,,,,,,,,,,,,,,
App,ClickSniff,2D,UI View,Productivity,Prototype Live,In Progress,AI-assisted app that scans YouTube subscriptions for clickbait content.,Analyze video titles and thumbnails to flag potential clickbait.,,,,,,,,,,,,,,,,,,,
App,Dementia Support System,2D,UI View,Health,Concept,Concept,Assist a family member with Lewy Body Dementia using AI for reminders and tracking.,AI-powered dementia support assistant.,,,,,,,,,,,,,,,,,,,
App,SmartScheduler Pro,2D,UI View,Productivity,Concept,Concept,Real-time personnel and task scheduling app inspired by aircraft maintenance tools.,Visual Gantt scheduling for teams.,,,,,,,,,,,,,,,,,,,
App,Chat n Stuff,2D,UI View,Social Media,Paused,Paused,"Lightweight social platform with real-time chat, AI moderation, and user posting.",A stripped-down Twitter/Facebook/Pintrest alternative.,,,,,,,,,,,,,,,,,,,
Game,A Quokka Story,2.5D,3/4 Side View,Metroidvania,Planning,Concept,"A wholesome narrative game featuring dynamic AI-generated music. Each instrument represents a character or region, creating a living soundtrack that evolves with play. Players guide a quokka through puzzles and moral choices.",A side-scrolling morality adventure where music itself tells the story.,,,,,,,,,,,,,,,,,,,
Game,Alpha Foxtrot Uniform,3D,Third Person,Action Adventure,Planning,Concept,"A tactical survival shooter where a modern special ops team vanishes into a cave and emerges in ancient Egypt. With the pyramids unfinished, no translators, and no backup, or resupply survival is the only mission.",A tactical survival shooter where language and leadership decide who lives or dies.,,,,,,,,,,,,,,,,,,,
Game,Aunt T Board Game,2D,Isometric,Board/Card Battler,Planning,Concept,"A digital board game adaptation steeped in family chaos, secrets, and satire. Players manipulate resources, gossip, and bizarre household events to win.",A board game where family drama is the deadliest weapon.,,,,,,,,,,,,,,,,,,,
Game,Bob Christ: Second Hand Messiah,2D,Top Down,RPG,Planning,Concept,"A satirical comedy game blending irreverent religious parody with absurd mechanics. James the Just, the Ghost of Iscariot, and Bob Christ himself populate a world of symbolic trials and blasphemous humor.",What if salvation came from a pawn shop messiah?,,,,,,,,,,,,,,,,,,,
Game,Charon's Fishing (Styx),2D,Side View,Casual,Planning,Concept,"A Cast n’ Chill–style fishing game with a mythological twist. Charon, ferryman of the River Styx, spends his downtime fishing. Souls pay him in coins or barter gear; coins and items allow raft and equipment upgrades (nets, fish detection, etc.). The fish are demonic or spectral versions of real species, adding a darkly whimsical tone.",“What does Charon do when not ferrying souls? He fishes the Styx.” A relaxing yet eerie underworld fishing sim.,,,,,,,,,,,,,,,,,,,
Game,Cursed Fantasy,3D,Third Person,Action Aventure,Planning,Concept,"Awaken on a lush island divided by endless war, where factions clash and dialogue choices shape the world’s survival.",An open-world fantasy RPG where your alliances decide whether peace or destruction prevails.,,,,,,,,,,,,,,,,,,,
Game,Don't Lose Your Head,2D,UI View,Word Game,Planning,Concept,"A word-game twist on Hangman meets Battleship. Players guess words under time pressure, competing against others in PvP or playing solo. Strategic letter placement and bluffing are key.",A competitive word-guessing duel where losing your head is literal.,,,,,,,,,,,,,,,,,,,
Game,Encapsulated Fear,2D,UI View,Visual Novel,Planning,Concept,A man documents rising paranoia about his wife's transformation after starting corticosteroids.,A husband suspects his wife's new medication is turning her into a monster-and he might be next.,,,,,,,,,,,,,,,,,,,
Game,FearSteez,3D,3/4 and Top Down View,Beat 'em up,Planning,Concept,"A stylized hip-hop inspired action game. Players wield rap-themed weapons — from microphones to boomboxes — against surreal enemies. The game blends rhythm, combat, and urban satire.",Battle through a rap-infused world where rhythm hits harder than bullets.,,,,,,,,,,,,,,,,,,,
Game,Forensic Science Practical Lab,3D,First Person,Educational,Planning,Concept,"A fully immersive VR lab where players step into the role of rookie forensic scientists, practicing evidence collection, analysis, and case solving.",A VR forensic simulator that turns the crime lab into your classroom.,,,,,,,,,,,,,,,,,,,
Game,Genie in a Test Tube,2D,UI View,Visual Novel,Planning,Concept,"Hanna Shazi, a dishonorably discharged veteran in a wheelchair, is approached by billionaire Mataleli Galanidi of Nightwick Inc.","A dishonorably discharged vet is offered a second chance to bear children - but why her, and why now?",,,,,,,,,,,,,,,,,,,
Game,GRIMMORPG,3D,Cinematic Fixed,Point N Click,Planning,Concept,"Mary, a young developer, designs a fantasy MMO that begins bleeding into reality, turning players into characters in her twisted fairy-tale nightmare.",A point-and-click horror adventure where the game you play starts playing you back.,,,,,,,,,,,,,,,,,,,
Game,Hide 'N Reap,2.5D,Side View,Platform Fighter,Planning,Concept,"A stealth-horror game of hide and seek where players must outwit the Reaper. With possession-based mechanics, players swap roles between hunter and hunted in bright, cartoon-styled 2D arenas filled with hazards and surprises.","A nerve-wracking asymmetrical PvP where the Reaper is always coming — and sometimes, it’s you.",,,,,,,,,,,,,,,,,,,
Game,HumiliNation,2.5D,Fixed Side View,Physics Simulator,Planning,Concept,"A daily web-based satire game where users vote to trigger ragdoll punishments. Built in Unity WebGL, tied to Stripe donations and Supabase vote-tracking. Players return daily to see new punishments unlocked by the crowd.",A Flash-inspired WebGL satire where democracy decides the day’s humiliation.,,,,,,,,,,,,,,,,,,,
Game,Miracle Worker,3D,Third/First Person,Action Adventure,Planning,Concept,"A paramedic receives cryptic warnings about incoming disasters, forcing players to balance faith, survival, and morality in a collapsing city.",A narrative-driven action-horror where saving lives may cost your soul.,,,,,,,,,,,,,,,,,,,
Game,"Murder, Malady and Monsters",3D,UI View,Visual Novel,Planning,Concept,"A Southern gothic narrative game based on the novel of the same name. Jet Tavor and siblings confront a mutating malady, abusive pasts, and mythic creatures in a cursed Southern town.","Family, trauma, and monsters collide in a tale where survival is anything but certain.",,,,,,,,,,,,,,,,,,,
